model,bin,mean_predicted_probability,observed_rate
Logistic Regression,1,0.041973933488057794,0.05405405405405406
Logistic Regression,2,0.1944190520384206,0.13513513513513514
Logistic Regression,3,0.6691388499390525,0.7222222222222222
Logistic Regression,4,0.8869793492544675,0.9459459459459459
Logistic Regression,5,0.9699939675814577,0.918918918918919
Random Forest,1,0.020540540540540542,0.02702702702702703
Random Forest,2,0.2351754385964912,0.13157894736842105
Random Forest,3,0.637047619047619,0.8
Random Forest,4,0.8454954954954953,0.8918918918918919
Random Forest,5,0.9746846846846846,0.9459459459459459
