feature,importance_mean,importance_std
ST_Slope,0.1461956521739131,0.021800186000143027
Sex,0.055978260869565234,0.010326086956521744
ChestPainType,0.04809782608695655,0.014509444645883145
Cholesterol,0.04266304347826091,0.010770609338373057
ExerciseAngina,0.03695652173913048,0.008349071465074591
MaxHR,0.022010869565217424,0.006308797155567316
FastingBS,0.017391304347826108,0.00678804130260694
RestingBP,0.01711956521739135,0.006021336903847903
Oldpeak,0.017119565217391337,0.009138680283043606
RestingECG,0.01413043478260873,0.00526921723632208
Age,0.009510869565217416,0.006401749450755294
