model,threshold,precision,recall,f1,positive_predictions
Logistic Regression,0.3,0.8189655172413793,0.9313725490196079,0.8715596330275229,116
Logistic Regression,0.4,0.8407079646017699,0.9313725490196079,0.8837209302325582,113
Logistic Regression,0.5,0.8715596330275229,0.9313725490196079,0.9004739336492891,109
Logistic Regression,0.6,0.9108910891089109,0.9019607843137255,0.9064039408866995,101
Logistic Regression,0.7,0.9325842696629213,0.8137254901960784,0.8691099476439791,89
Random Forest,0.3,0.8181818181818182,0.9705882352941176,0.8878923766816144,121
Random Forest,0.4,0.8571428571428571,0.9411764705882353,0.897196261682243,112
Random Forest,0.5,0.897196261682243,0.9411764705882353,0.9186602870813397,107
Random Forest,0.6,0.9081632653061225,0.8725490196078431,0.89,98
Random Forest,0.7,0.9285714285714286,0.7647058823529411,0.8387096774193549,84
